,Ticker,Biggest Difference,Minimum Close Date,Minimum Close,Maximum Close Date,Maximum Close,Time in Market,Company,industry,sector
0,AAPL,175.37949,1985-08-15,0.23051,2017-11-08,175.61,11773,Apple Inc.,Computer Hardware,Technology
1,ABBV,68.238,2013-01-08,28.241999999999997,2017-10-19,96.48,1745,AbbVie Inc.,Drug Manufacturers,Healthcare
2,ABT,55.6601,1984-03-26,0.6599,2017-10-20,56.32,12261,Abbott Laboratories,Medical Devices,Healthcare
3,ACN,126.65399999999998,2005-04-27,18.236,2017-11-08,144.89,4578,Accenture plc Class A (Ireland),Application Software,Technology
4,AGN,330.4144,1993-02-22,6.0656,2015-07-28,336.48,8191,Allergan plc,Drug Manufacturers,Healthcare
5,AIG,1887.934,1984-12-03,46.126000000000005,2000-12-08,1934.06,5849,American International Group Inc.,Insurance,Financial Services
6,ALL,90.25900000000001,1994-04-21,8.921,2017-11-07,99.18,8601,Allstate Corporation (The),Insurance - Property & Casualty,Financial Services
7,AMGN,190.92985,1984-11-16,0.07015,2017-09-12,191.0,11988,Amgen Inc.,Biotechnology,Healthcare
8,AMZN,1131.48,1997-05-22,1.4,2017-11-08,1132.88,7475,Amazon.com Inc.,Retail - Apparel & Specialty,Consumer Cyclical
9,AXP,95.94019,1974-10-03,0.48981,2017-11-03,96.43,15737,American Express Company,Credit Services,Financial Services
10,BA,264.39804999999996,1974-01-08,0.31195,2017-11-07,264.71,16009,The Boeing Company,Aerospace & Defense,Industrials
11,BAC,49.447399999999995,1987-12-03,2.3096,2006-11-16,51.757,6923,Bank of America Corporation,Banks,Financial Services
12,BIIB,438.10761,1994-12-16,0.32239,2015-03-20,438.43,7399,Biogen Inc.,Biotechnology,Healthcare
13,BK,53.5556,1990-10-30,1.0714,2017-10-11,54.626999999999995,9843,Bank of New York Mellon Corporation (The),Asset Management,Financial Services
14,BLK,422.53499999999997,2005-04-15,58.055,2017-10-12,480.59,4563,BlackRock Inc.,Asset Management,Financial Services
15,BMY,73.6169,1977-05-25,0.6081,2016-07-14,74.225,14295,Bristol-Myers Squibb Company,Drug Manufacturers,Healthcare
16,C,562.9686,1974-12-09,5.1414,2000-08-28,568.11,9394,Citigroup Inc.,Banks,Financial Services
17,CAT,137.43540000000002,1970-07-14,1.3746,2017-11-07,138.81,17283,Caterpillar Inc.,Farm & Construction Machinery,Industrials
18,CELG,139.675,2005-02-28,6.845,2017-10-04,146.52,4601,Celgene Corporation,Biotechnology,Healthcare
19,CHTR,369.874,2010-02-25,32.626,2017-09-06,402.5,2750,Charter Communications Inc.,Communication Services,Communication Services
20,CL,76.09511,1980-03-24,0.28689000000000003,2017-06-05,76.382,13587,Colgate-Palmolive Company,Consumer Packaged Goods,Consumer Defensive
21,CMCSA,40.9597,1990-10-11,0.7633,2017-08-14,41.723,9804,Comcast Corporation Class A Common Stock,Communication Services,Communication Services
22,COF,90.7206,1994-12-09,4.0504,2017-03-01,94.771,8118,Capital One Financial Corporation,Credit Services,Financial Services
23,COP,76.9988,1982-08-18,0.9982,2014-07-23,77.997,11662,ConocoPhillips,Oil & Gas - E&P,Energy
24,COST,176.73770000000002,1987-12-04,4.8823,2017-06-07,181.62,10778,Costco Wholesale Corporation,Retail - Defensive,Consumer Defensive
25,CSCO,66.08814,1990-10-10,0.05786,2000-03-27,66.146,3456,Cisco Systems Inc.,Communication Equipment,Technology
26,CVS,105.9893,1985-01-02,2.2707,2015-07-29,108.26,11165,CVS Health Corporation,Health Care Plans,Healthcare
27,CVX,119.6467,1970-07-07,0.5733,2017-10-17,120.22,17269,Chevron Corporation,Oil & Gas - Integrated,Energy
28,DHR,101.101,1987-12-04,0.389,2016-07-01,101.49,10437,Danaher Corporation,Medical Diagnostics & Research,Healthcare
29,DIS,117.95702,1974-12-16,0.28298,2015-08-04,118.24,14841,The Walt Disney Company,Entertainment,Consumer Cyclical
30,DUK,86.7559,1983-06-09,2.8741,2017-11-09,89.63,12572,Duke Energy Corporation (Holding Company),Utilities - Regulated,Utilities
31,DWDP,72.42859999999999,1989-01-16,0.8914,2017-11-01,73.32,10516,DowDuPont Inc.,Chemicals,Basic Materials
32,EMR,65.9052,1982-02-23,1.4748,2017-10-27,67.38,13030,Emerson Electric Company,Industrial Products,Industrials
33,EXC,68.58670000000001,1980-03-24,0.7033,2008-07-10,69.29,10335,Exelon Corporation,Utilities - Regulated,Utilities
34,F,24.760230000000004,1981-10-29,0.21277,1999-05-03,24.973000000000003,6395,Ford Motor Company,Autos,Consumer Cyclical
35,FB,164.93,2012-09-04,17.73,2017-11-01,182.66,1884,Facebook Inc.,Online Media,Technology
36,FDX,228.0875,1980-05-06,2.3825,2017-10-27,230.47,13688,FedEx Corporation,Transportation & Logistics,Industrials
