Investor ID,Deal ID,Ticker,Investor Name,Portfolio Company ID,Deal Date,Deal Type 1,Deal Type 2,Portfolio Company Name,Description,Status,Deal No.,Company Industry Sector,Company Industry Group,Company Industry Code,Company Verticals,All Industries,Company Business Status,Company Financing Status,# of Employees at Company,Deal Class
57961-99,88708-42T,FOX,21st Century Fox,179267-95,06-Jun-2017,Merger/Acquisition,,Aftershock,Operator of mobile gaming studio intended to create massively multiplayer games for mobile devices. The company's mobile gaming platform merges the art of game design and the science of consumer behavior to create immersive games that span the strategy role-playing game categories connecting gamers at massive scales.,Acquirer,2,Information Technology,Software,Entertainment Software,Mobile,Entertainment Software*,Generating Revenue,Formerly VC-Backed,80,Corporate
10663-66,56201-23T,,3M,122708-35,,Merger/Acquisition,Corporate Divestiture,Grinnell Systems,Developer and manufacturer of image processing systems. The company manufactures systems that are used in graphical workstations and video teleconferencing systems.,Acquirer,1,Business Products and Services (B2B),Commercial Products,Machinery (B2B),Manufacturing,Machinery (B2B)*,Generating Revenue,Corporate Backed or Acquired,,Corporate
11906-65,79584-67T,ABT,Abbott Laboratories,58297-24,,Merger/Acquisition,,Cephea,"Creator of mitral-valve replacement technology. The company has developed a mitral-valve replacement technology that entails delivering the valve replacement through a catheter, as an alternative to the conventional route of heart surgery.",Acquirer,4,Healthcare,Healthcare Devices and Supplies,Surgical Devices,,Surgical Devices*; Other Devices and Supplies,Product Development,Formerly VC-Backed,33,Corporate
56145-79,67856-68T,ABBV,AbbVie,54439-66,01-Jun-2016,Merger/Acquisition,,Stemcentrx,"Provider of cancer research and drug-development services. The company provides therapies to eliminate cancer stem cells, which initiate and perpetuate tumors. It is investigating a number of the largest and most lethal cancers through its proprietary platforms that identify cancer stem cells and discover novel targets. The company engineers and manufactures antibodies and antibody drug conjugates for those targets.",Acquirer,8,Healthcare,Pharmaceuticals and Biotechnology,Drug Discovery,"Life Sciences, Oncology",Drug Discovery*; Biotechnology,Clinical Trials - Phase 1,Formerly VC-Backed,147,Corporate
10568-26,105178-96T,ACN,Accenture,228227-32,08-May-2018,Merger/Acquisition,,Certus Solutions,"Provider of information technology implementation services in Brisbane, Queensland. The company's services include infrastructure and asset intelligence, big data governance, data management, analytics, digital business services and service re design.",Acquirer,1,Information Technology,IT Services,Systems and Information Management,Big Data,Systems and Information Management*; Other IT Services,Generating Revenue,Corporate Backed or Acquired,100,Corporate
41127-76,69481-36T,AGN,Allergan,103468-87,,Merger/Acquisition,,Anda,"Distributor of specialty pharmaceutical products and over-the-counter medicines. The company distributes generic, brand and specialty pharmaceutical products, vaccines, injectables and medicines to independent pharmacies, pharmacy chains, alternate care providers such as hospitals, nursing homes and mail order pharmacies.",Former Investor,1,Healthcare,Pharmaceuticals and Biotechnology,Pharmaceuticals,,Pharmaceuticals*; Drug Discovery,Generating Revenue,Corporate Backed or Acquired,584,Corporate
11545-12,79082-92T,ALL,Allstate,12042-46,04-Jan-2017,Merger/Acquisition,,SquareTrade,"Provider of warranties for electronics and appliances purchased at stores. The company offers aftermarket protection plans for smartphones, laptops, tablets, appliances and televisions.",Acquirer,7,Consumer Products and Services (B2C),Services (Non-Financial),Other Services (B2C Non-Financial),,Other Services (B2C Non-Financial)*; Other Insurance,Generating Revenue/Not Profitable,Formerly PE-Backed,,Corporate
10453-33,89690-68T,GOOG,Alphabet,59275-27,,Merger/Acquisition,,Sierra Photonics,"Developer of custom communication and sensor technologies for government problems. The company specializes in providing a technical software for difficult government problems through detailed engineering design, modeling, rapid prototyping, and spiral development.",Acquirer,3,Information Technology,Computer Hardware,Electronic Equipment and Instruments,3D Printing,Electronic Equipment and Instruments*; Wireless Communications Equipment; Government,Generating Revenue,Formerly VC-Backed,36,Corporate
11271-43,81225-01T,,Altria Group,169796-26,17-Jan-2017,Merger/Acquisition,,Nat Sherman,"Manufacturer of tobacco products. The company is engaged in the marketing and sale of cigars, cigarettes, humidors, ashtrays and lighters.",Acquirer,1,Consumer Products and Services (B2C),Consumer Non-Durables,Other Consumer Non-Durables,Manufacturing,Other Consumer Non-Durables*; Specialty Retail,Generating Revenue,Corporate Backed or Acquired,100,Corporate
11919-79,102091-87T,AMZN,Amazon.com,60685-21,12-Apr-2018,Merger/Acquisition,,Ring,"Developer of wireless frequency enabled smart security devices created to reduce crime in communities. The company's wireless frequency enabled security device features a wide-angle lens and a built-in microphone and speaker to see, hear and speak to anyone, enabling users to monitor every corner of their property.",Acquirer,8,Consumer Products and Services (B2C),Consumer Durables,Electronics (B2C),Internet of Things,Electronics (B2C)*; Application Software; Security Services (B2B),Profitable,Formerly VC-Backed,"1,300",Corporate
10826-20,100752-76T,AXP,American Express,117181-36,30-Jan-2018,Merger/Acquisition,,Mezi,"Developer of a personal travel assistant application designed to help consumers plan and book trips. The company's travel-as-a-service app utilizes artificial intelligence and machine learning along with a travel dashboard that helps users book flights, reserve hotel rooms and make dinner reservations, enabling corporate travelers to enjoy a superior, personalized and efficient service.",Acquirer,3,Information Technology,Software,Application Software,"Artificial Intelligence & Machine Learning, Big Data, Mobile",Application Software*,Generating Revenue,Formerly VC-Backed,11,Corporate
10187-83,59351-68T,AIG,American International Group,42442-12,,Merger/Acquisition,Corporate Divestiture,Canada Guaranty Mortgage Insurance Company,Provider of mortgage insurance services in Canada. The company offers a comprehensive suite of insurance products and services that protect lenders and investors from losses related to borrower default and foreclosure.,Former Investor,2,Financial Services,Commercial Banks,Thrifts and Mortgage Finance,,Thrifts and Mortgage Finance*; Other Insurance,Profitable,Private Equity-Backed,85,Corporate
11108-71,96500-53T,AMGN,Amgen,221853-70,31-Dec-2017,Merger/Acquisition,Corporate Divestiture,Kirin-Amgen,"Developer and supplier of medical drugs. The company's medical drugs include erythropoietin, granulocyte colony-stimulating factor, darbepoetin alfa and related drugs, enabling patients and medical institutions to get a consistent supply of medicines throughout the year.",Acquirer,2,Healthcare,Pharmaceuticals and Biotechnology,Pharmaceuticals,,Pharmaceuticals*,Generating Revenue,Corporate Backed or Acquired,,Corporate
41082-40,82439-20T,AAPL,Apple,90156-16,,Merger/Acquisition,,SourceDNA,"Provider of an analytics software designed to find coding problems in any application. The company's analytics software acts as a code watchdog and analyzes the security of cellphones, game consoles and micro-controller firmware, enabling people who use, write, or sell code to make informed decisions.",Acquirer,3,Information Technology,Software,Software Development Applications,Mobile,Software Development Applications*; Media and Information Services (B2B); Application Software,Startup,Formerly VC-Backed,5,Corporate
10141-57,78415-93T,T,AT&T,111170-53,,Merger/Acquisition,,Cellular One (cellular services),"Provider of cellular services designed to offer wireless communication services. The company's wireless communication services include personalized services and advanced technology and also operates as a chain of retail stores where it sells mobile phones and accessories, providing users with upgraded systems and quality service.",Acquirer,1,Information Technology,Communications and Networking,Wireless Service Providers,Mobile,Wireless Service Providers*; Specialty Retail,Generating Revenue,Formerly VC-Backed,49,Corporate
10091-08,32305-60T,BAC,Bank of America,61624-90,03-Jul-2013,Merger/Acquisition,Corporate Divestiture,MuniMae TE Bond Subsidiary,Provider of fund management and financial advisory services. The company provides debt and equity financing for developers of real estate and clean energy projects.,Acquirer,1,Financial Services,Capital Markets/Institutions,Asset Management,,Asset Management*; Other Financial Services,Generating Revenue,Corporate Backed or Acquired,,Corporate
10154-53,72997-30T,BRK.A,Berkshire Hathaway,119463-40,18-Jul-2017,Merger/Acquisition,,Medical Liability Mutual Insurance,"Provider of insurance underwriting services. The company offers medical professional liability insurance services to physicians, surgeons, hospitals, dentists and healthcare providers.",Acquirer,1,Financial Services,Insurance,Property and Casualty Insurance,,Property and Casualty Insurance*; Other Insurance,Profitable,Corporate Backed or Acquired,201,Corporate
10553-05,53733-52T,BIIB,Biogen,119897-92,24-Aug-2015,Merger/Acquisition,Corporate Divestiture,Eisai (manufacturing facility),"Manufacturer of drugs. The company manufactures, discovers, develops and delivers parenteral products, drugs that are injected. It also manufactures oral solid dose and markets pharmaceuticals for neurology, gastrointestinal disorders and oncology-critical care.",Acquirer,1,Healthcare,Pharmaceuticals and Biotechnology,Pharmaceuticals,"Life Sciences, Manufacturing, Oncology",Pharmaceuticals*; Other Pharmaceuticals and Biotechnology,Generating Revenue,Corporate Backed or Acquired,180,Corporate
10768-06,89771-68T,BLK,BlackRock,84941-83,25-Jul-2017,Merger/Acquisition,,CacheMatrix,"Developer of a SaaS-based platform software intended to manage liquidity efficiently. The company's SaaS-based platform software enables financial institutions to provide corporate clients with a portal for allocating cash to a variety of money market funds and direct cash instruments which help them seamlessly analyze, perform compliance checks and generate detailed reports for their cash investments on this platform.",Acquirer,1,Information Technology,Software,Social/Platform Software,"FinTech, SaaS",Social/Platform Software*; Financial Software,Generating Revenue,Corporate Backed or Acquired,,Corporate
10301-14,65004-85T,BK,BNY Mellon,138603-61,01-Jun-2016,Merger/Acquisition,,Atherton Lane Advisers,"Provider of investment management and investment advisory services. The company provides tax planning, wealth management and investment counseling services to private clients through individually designed investment portfolios that are broadly diversified across asset classes and within asset sectors.",Acquirer,1,Financial Services,Capital Markets/Institutions,Asset Management,,"Asset Management*; Accounting, Audit and Tax Services (B2B); Accounting, Audit and Tax Services (B2C)",Generating Revenue,Corporate Backed or Acquired,25,Corporate
11551-69,95321-71T,BA,Boeing,10945-18,08-Nov-2017,Merger/Acquisition,,Aurora Flight Sciences,"Developer, designer and manufacturer of unmanned systems and aerospace vehicles designed to provide autonomous aircraft and to support the study of global climate change. The company's unmanned aerial systems (UAS) and aerospace vehicles, including Orion, autonomous drones and high altitude robotic aircraft (UAV) for atmospheric science research are offered to Silicon Valley tech companies, the US military, air cargo transport companies and other aerospace companies, enabling them to receive high-strength composite structures and aerospace applications as per their requirement.",Acquirer,8,Business Products and Services (B2B),Commercial Products,Aerospace and Defense,"Manufacturing, Robotics and Drones",Aerospace and Defense*,Generating Revenue,Formerly PE-Backed,550,Corporate
