,Unnamed: 0,date,high,low,percent_change,stock_close,stock_open,ticker,volume,Company,industry,sector
11049,11049,2018-01-02,168.7138,166.1005,0.396,168.1288,168.0508,SPG,1442874,Simon Property Group Inc.,REITs,Real Estate
11050,11050,2018-01-03,168.31400000000002,165.6227,-0.46399999999999997,167.3487,167.8167,SPG,1849302,Simon Property Group Inc.,REITs,Real Estate
11051,11051,2018-01-04,167.2219,162.3951,-2.925,162.4536,167.2219,SPG,2159477,Simon Property Group Inc.,REITs,Real Estate
11052,11052,2018-01-05,164.1786,162.2294,0.93,163.965,162.8924,SPG,2126503,Simon Property Group Inc.,REITs,Real Estate
11053,11053,2018-01-08,165.9348,164.1503,0.654,165.0377,164.7549,SPG,1874939,Simon Property Group Inc.,REITs,Real Estate
11054,11054,2018-01-09,165.1937,161.0202,-2.198,161.4103,164.7061,SPG,1720886,Simon Property Group Inc.,REITs,Real Estate
11055,11055,2018-01-10,161.0105,158.7189,-0.332,160.8739,160.5814,SPG,1339538,Simon Property Group Inc.,REITs,Real Estate
11056,11056,2018-01-11,161.3713,159.9768,-0.091,160.7277,161.1372,SPG,1494603,Simon Property Group Inc.,REITs,Real Estate
11057,11057,2018-01-12,161.8393,160.2768,0.413,161.3908,160.9032,SPG,1238631,Simon Property Group Inc.,REITs,Real Estate
11058,11058,2018-01-16,163.9163,160.7959,-0.284,160.9325,161.7906,SPG,1449412,Simon Property Group Inc.,REITs,Real Estate
11059,11059,2018-01-17,163.7798,160.5229,1.43,163.2337,161.5955,SPG,1699268,Simon Property Group Inc.,REITs,Real Estate
11060,11060,2018-01-18,163.458,159.6746,-1.882,160.1621,162.8729,SPG,1947562,Simon Property Group Inc.,REITs,Real Estate
11061,11061,2018-01-19,161.1714,158.9725,-0.006,160.1524,160.8057,SPG,1805213,Simon Property Group Inc.,REITs,Real Estate
11062,11062,2018-01-22,162.6779,159.9866,1.1320000000000001,161.9661,160.1914,SPG,1751645,Simon Property Group Inc.,REITs,Real Estate
11063,11063,2018-01-23,165.0669,161.4688,0.138,162.1903,162.7754,SPG,2863969,Simon Property Group Inc.,REITs,Real Estate
