,date,high,low,percent_change,stock_close,stock_open,ticker,volume,Company,industry,sector
0,2018-01-02,170.3437,167.3382,1.79,170.3042,168.228,AAPL,25555934,Apple Inc.,Computer Hardware,Technology
1,2018-01-03,172.5682,170.0076,-0.017,170.2745,170.5711,AAPL,29517899,Apple Inc.,Computer Hardware,Technology
2,2018-01-04,171.5005,170.1262,0.464,171.0654,170.581,AAPL,22434597,Apple Inc.,Computer Hardware,Technology
3,2018-01-05,173.3789,171.0852,1.139,173.0131,171.4708,AAPL,23660018,Apple Inc.,Computer Hardware,Technology
4,2018-01-08,173.6162,171.9552,-0.371,172.3705,172.3705,AAPL,20567766,Apple Inc.,Computer Hardware,Technology
5,2018-01-09,173.0724,171.4411,-0.011,172.3507,172.5682,AAPL,21583997,Apple Inc.,Computer Hardware,Technology
6,2018-01-10,172.321,171.0358,-0.023,172.3111,171.194,AAPL,23959895,Apple Inc.,Computer Hardware,Technology
7,2018-01-11,173.4961,172.5089,0.568,173.2899,172.6077,AAPL,18667729,Apple Inc.,Computer Hardware,Technology
8,2018-01-12,175.3463,173.6557,1.033,175.0794,174.1797,AAPL,25418080,Apple Inc.,Computer Hardware,Technology
9,2018-01-16,177.3532,174.1401,-0.508,174.1896,175.8802,AAPL,29565947,Apple Inc.,Computer Hardware,Technology
10,2018-01-17,177.2148,173.0823,1.652,177.0665,174.15,AAPL,34386836,Apple Inc.,Computer Hardware,Technology
11,2018-01-18,178.0552,176.2262,0.089,177.2247,177.3335,AAPL,31193352,Apple Inc.,Computer Hardware,Technology
12,2018-01-19,177.5411,175.3957,-0.446,176.4338,176.5821,AAPL,32425067,Apple Inc.,Computer Hardware,Technology
13,2018-01-22,175.7615,174.5965,-0.818,174.9904,175.287,AAPL,27108551,Apple Inc.,Computer Hardware,Technology
14,2018-01-23,177.4027,174.8124,0.023,175.0299,175.287,AAPL,32689146,Apple Inc.,Computer Hardware,Technology
15,2018-01-24,175.287,171.2335,-1.593,172.2419,175.2375,AAPL,51105090,Apple Inc.,Computer Hardware,Technology
16,2018-01-25,172.9636,168.5938,-1.785,169.1672,172.5237,AAPL,41529004,Apple Inc.,Computer Hardware,Technology
17,2018-01-26,170.0471,168.1292,0.234,169.5627,170.0471,AAPL,39143011,Apple Inc.,Computer Hardware,Technology
18,2018-01-29,168.228,165.1731,-2.07,166.053,168.228,AAPL,50640406,Apple Inc.,Computer Hardware,Technology
19,2018-01-30,165.4697,162.83,-0.589,165.0743,163.6457,AAPL,46048185,Apple Inc.,Computer Hardware,Technology
20,2018-01-31,166.5292,164.6096,0.275,165.529,164.9754,AAPL,32478930,Apple Inc.,Computer Hardware,Technology
21,2018-02-01,166.7055,164.8666,0.209,165.8751,165.267,AAPL,47230787,Apple Inc.,Computer Hardware,Technology
22,2018-02-02,164.9062,158.2823,-4.339,158.6777,164.1153,AAPL,86593825,Apple Inc.,Computer Hardware,Technology
