,Unnamed: 0,date,high,low,percent_change,stock_close,stock_open,ticker,volume,Company,industry,sector
0,0,2018-01-02,170.9412,167.9251,1.79,170.9015,168.81799999999998,AAPL,25555934,Apple Inc.,Computer Hardware,Technology
1,1,2018-01-03,173.1734,170.6039,-0.017,170.8717,171.1694,AAPL,29517899,Apple Inc.,Computer Hardware,Technology
2,2,2018-01-04,172.1019,170.7229,0.46399999999999997,171.6654,171.1793,AAPL,22434597,Apple Inc.,Computer Hardware,Technology
3,3,2018-01-05,173.987,171.6853,1.139,173.6199,172.0722,AAPL,23660018,Apple Inc.,Computer Hardware,Technology
4,4,2018-01-08,174.2251,172.5583,-0.371,172.975,172.975,AAPL,20567766,Apple Inc.,Computer Hardware,Technology
5,5,2018-01-09,173.6794,172.0424,-0.011000000000000001,172.9552,173.1734,AAPL,21583997,Apple Inc.,Computer Hardware,Technology
6,6,2018-01-10,172.9254,171.6357,-0.023,172.9155,171.7944,AAPL,23959895,Apple Inc.,Computer Hardware,Technology
7,7,2018-01-11,174.1046,173.1139,0.568,173.8977,173.2131,AAPL,18667729,Apple Inc.,Computer Hardware,Technology
8,8,2018-01-12,175.9613,174.2648,1.033,175.6934,174.7906,AAPL,25418080,Apple Inc.,Computer Hardware,Technology
9,9,2018-01-16,177.9753,174.7509,-0.508,174.8005,176.497,AAPL,29565947,Apple Inc.,Computer Hardware,Technology
10,10,2018-01-17,177.8364,173.6893,1.652,177.6875,174.7608,AAPL,34386836,Apple Inc.,Computer Hardware,Technology
11,11,2018-01-18,178.6797,176.8442,0.08900000000000001,177.8463,177.9554,AAPL,31193352,Apple Inc.,Computer Hardware,Technology
12,12,2018-01-19,178.1638,176.0109,-0.446,177.0526,177.2014,AAPL,32425067,Apple Inc.,Computer Hardware,Technology
13,13,2018-01-22,176.378,175.2088,-0.818,175.6041,175.9017,AAPL,27108551,Apple Inc.,Computer Hardware,Technology
14,14,2018-01-23,178.0249,175.4255,0.023,175.6438,175.9017,AAPL,32689146,Apple Inc.,Computer Hardware,Technology
15,15,2018-01-24,175.9017,171.8341,-1.5930000000000002,172.84599999999998,175.8521,AAPL,51105090,Apple Inc.,Computer Hardware,Technology
16,16,2018-01-25,173.5703,169.1851,-1.785,169.7606,173.1288,AAPL,41529004,Apple Inc.,Computer Hardware,Technology
17,17,2018-01-26,170.6435,168.7188,0.23399999999999999,170.1574,170.6435,AAPL,39143011,Apple Inc.,Computer Hardware,Technology
18,18,2018-01-29,168.81799999999998,165.7524,-2.07,166.6354,168.81799999999998,AAPL,50640406,Apple Inc.,Computer Hardware,Technology
19,19,2018-01-30,166.0501,163.4011,-0.589,165.6532,164.2196,AAPL,46048185,Apple Inc.,Computer Hardware,Technology
20,20,2018-01-31,167.1133,165.1869,0.275,166.1096,165.554,AAPL,32478930,Apple Inc.,Computer Hardware,Technology
21,21,2018-02-01,167.2902,165.4449,0.209,166.4568,165.8467,AAPL,47230787,Apple Inc.,Computer Hardware,Technology
22,22,2018-02-02,165.4845,158.8374,-4.3389999999999995,159.2342,164.6909,AAPL,86593825,Apple Inc.,Computer Hardware,Technology
23,23,2018-02-05,162.5876,154.7697,-2.498,155.2559,157.8453,AAPL,72738522,Apple Inc.,Computer Hardware,Technology
24,24,2018-02-06,162.4288,152.7855,4.178999999999999,161.7443,153.6089,AAPL,68243838,Apple Inc.,Computer Hardware,Technology
25,25,2018-02-07,162.1114,157.814,-2.141,158.2818,161.7988,AAPL,51608580,Apple Inc.,Computer Hardware,Technology
26,26,2018-02-08,159.7303,153.8074,-2.752,153.9264,159.0259,AAPL,54390516,Apple Inc.,Computer Hardware,Technology
27,27,2018-02-09,157.2835,149.6629,1.2229999999999999,155.8092,156.4667,AAPL,70672608,Apple Inc.,Computer Hardware,Technology
28,28,2018-02-12,163.2605,156.905,4.0280000000000005,162.085,157.8912,AAPL,60819539,Apple Inc.,Computer Hardware,Technology
29,29,2018-02-13,164.1172,161.0291,1.002,163.7088,161.3279,AAPL,32549163,Apple Inc.,Computer Hardware,Technology
30,30,2018-02-14,166.8965,162.2544,1.844,166.7271,162.4187,AAPL,40644933,Apple Inc.,Computer Hardware,Technology
31,31,2018-02-15,172.4252,168.3509,3.358,172.3255,169.1378,AAPL,51147171,Apple Inc.,Computer Hardware,Technology
